19878	17419	17344	17419	19858	16647	16657	16619	15050	15061	15056	1517	1518	1518	1316	1318	1318	19782	1339	1353	1443	
17419	19869	19149	19869	17413	15876	15887	15846	14440	14452	14447	1479	1479	1480	1308	1310	1310	17339	1337	1345	1431	
17344	19149	19856	19149	17344	15843	15854	15813	14373	14385	14381	1489	1489	1488	1305	1307	1307	17270	1329	1338	1422	
17419	19869	19149	19869	17413	15876	15887	15846	14440	14452	14447	1479	1479	1480	1308	1310	1310	17339	1337	1345	1431	
19858	17413	17344	17413	19878	16645	16655	16617	15050	15061	15056	1517	1518	1518	1318	1320	1320	19782	1339	1353	1443	
16647	15876	15843	15876	16645	19869	19839	19820	15172	15183	15178	1551	1549	1552	1318	1320	1320	16575	1314	1348	1418	
16657	15887	15854	15887	16655	19839	19869	19810	15177	15188	15183	1550	1548	1551	1317	1319	1319	16585	1313	1347	1417	
16619	15846	15813	15846	16617	19820	19810	19871	15151	15162	15157	1549	1547	1550	1325	1327	1327	16547	1313	1347	1419	
15050	14440	14373	14440	15050	15172	15177	15151	19842	19800	19790	1481	1482	1482	1301	1303	1303	15000	1263	1285	1368	
15061	14452	14385	14452	15061	15183	15188	15162	19800	19838	19808	1489	1490	1490	1299	1301	1301	15011	1265	1296	1379	
15056	14447	14381	14447	15056	15178	15183	15157	19790	19808	19838	1486	1487	1487	1301	1303	1303	15006	1264	1295	1373	
1517	1479	1489	1479	1517	1551	1550	1549	1481	1489	1486	19806	19759	19766	1264	1261	1261	1516	1201	1216	1264	
1518	1479	1489	1479	1518	1549	1548	1547	1482	1490	1487	19759	19812	19759	1267	1264	1264	1517	1202	1218	1266	
1518	1480	1488	1480	1518	1552	1551	1550	1482	1490	1487	19766	19759	19806	1268	1265	1265	1517	1201	1216	1264	
1316	1308	1305	1308	1318	1318	1317	1325	1301	1299	1301	1264	1267	1268	19649	19619	19629	1321	1178	1221	1227	
1318	1310	1307	1310	1320	1320	1319	1327	1303	1301	1303	1261	1264	1265	19619	19649	19639	1323	1176	1219	1225	
1318	1310	1307	1310	1320	1320	1319	1327	1303	1301	1303	1261	1264	1265	19629	19639	19649	1323	1178	1221	1227	
19782	17339	17270	17339	19782	16575	16585	16547	15000	15011	15006	1516	1517	1517	1321	1323	1323	19888	1341	1352	1449	
1339	1337	1329	1337	1339	1314	1313	1313	1263	1265	1264	1201	1202	1201	1178	1176	1178	1341	19555	13181	14611	
1353	1345	1338	1345	1353	1348	1347	1347	1285	1296	1295	1216	1218	1216	1221	1219	1221	1352	13181	19539	12877	
1443	1431	1422	1431	1443	1418	1417	1419	1368	1379	1373	1264	1266	1264	1227	1225	1227	1449	14611	12877	19712	
